index,slack,requirement,datapath_delay,logic_levels,startpoint,endpoint,path_group
58,0.696,15.000,14.173,11,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[18]/D,
59,0.708,15.000,14.288,11,core_i/core_i/id_stage_i/csr_access_ex_o_reg/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[4]/D,
60,0.708,15.000,14.320,14,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[31]/D,
61,0.711,15.000,14.166,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[28].mem_reg[28][30]/D,
62,0.714,15.000,14.161,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[30].mem_reg[30][30]/D,
63,0.719,15.000,14.205,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[9].mem_reg[9][29]/D,
64,0.721,15.000,14.206,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[24].mem_reg[24][29]/D,
65,0.724,15.000,14.259,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[25]/D,
66,0.728,15.000,14.199,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[6].mem_reg[6][29]/D,
67,0.728,15.000,14.147,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[10].mem_reg[10][30]/D,
68,0.729,15.000,14.196,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[26].mem_reg[26][27]/D,
69,0.732,15.000,14.143,11,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[19]/D,
70,0.734,15.000,14.150,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_a_ex_o_reg[29]/D,
71,0.735,15.000,14.186,12,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[12].mem_reg[12][29]/D,
72,0.740,15.000,14.200,14,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[31]/D,
73,0.741,15.000,14.282,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[27]/D,
74,0.751,15.000,14.123,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[20].mem_reg[20][30]/D,
75,0.754,15.000,14.123,13,core_i/core_i/id_stage_i/mult_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[5].mem_reg[5][30]/D,
