index,slack,requirement,datapath_delay,logic_levels,startpoint,endpoint,path_group
89,0.658,14.000,13.122,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[23].mem_reg[23][26]/D,
90,0.660,14.000,13.278,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/mult_operand_c_ex_o_reg[3]/D,
91,0.660,14.000,13.276,17,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/alu_operand_b_ex_o_reg[9]/D,
92,0.662,14.000,13.279,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[30].mem_reg[30][24]/D,
93,0.662,14.000,13.279,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[9].mem_reg[9][24]/D,
94,0.663,14.000,13.324,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[27].mem_reg[27][5]/D,
95,0.664,14.000,13.208,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[13].mem_reg[13][26]/D,
96,0.665,14.000,13.303,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[22]/D,
97,0.666,14.000,13.275,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[28].mem_reg[28][24]/D,
98,0.668,14.000,13.162,10,core_i/core_i/id_stage_i/mult_operand_b_ex_o_reg[4]/C,core_i/core_i/ex_stage_i/regfile_wdata_mul_wb_reg[29]/D,
99,0.668,14.000,13.348,19,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[19].mem_reg[19][12]/D,
100,0.673,14.000,13.193,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[5].mem_reg[5][22]/D,
101,0.675,14.000,13.243,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[10].mem_reg[10][26]/D,
102,0.677,14.000,13.187,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[1].mem_reg[1][23]/D,
103,0.680,14.000,13.258,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[3]/D,
104,0.681,14.000,13.259,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[27].mem_reg[27][24]/D,
105,0.681,14.000,13.183,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[2].mem_reg[2][16]/D,
106,0.685,14.000,13.181,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[15].mem_reg[15][22]/D,
107,0.685,14.000,13.258,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[21].mem_reg[21][24]/D,
108,0.687,14.000,13.182,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[25].mem_reg[25][26]/D,
109,0.691,14.000,13.275,21,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[2]/C,core_i/core_i/id_stage_i/mult_operand_a_ex_o_reg[13]/D,
110,0.691,14.000,13.172,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[26].mem_reg[26][23]/D,
111,0.692,14.000,13.340,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[6].mem_reg[6][3]/D,
112,0.696,14.000,13.325,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[16].mem_reg[16][5]/D,
113,0.697,14.000,13.239,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[8]/D,
114,0.698,14.000,13.241,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/alu_operand_c_ex_o_reg[17]/D,
115,0.698,14.000,13.242,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[7].mem_reg[7][24]/D,
116,0.698,14.000,13.218,13,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[26].mem_reg[26][26]/D,
117,0.698,14.000,13.243,14,core_i/core_i/id_stage_i/alu_operator_ex_o_reg[4]/C,core_i/core_i/id_stage_i/register_file_i/gen_rf[5].mem_reg[5][24]/D,
